route,global_solution_id,source_run,source_solution_id,status,stored_peak_kw,replay_peak_kw,delta_peak_kw,stored_lcoe_usd_kwh,replay_lcoe_usd_kwh,delta_lcoe_usd_kwh,replay_valid,solve_time_sec
B1,22,seed43,5,OPTIMAL,445.0569792098141,445.0569792098141,0.0,0.1816927970705297,0.18169279707052974,2.7755575615628914e-17,True,8.149999999999991
B1,23,seed42,17,OPTIMAL,445.2476001141024,445.2476001141024,0.0,0.1798323053306534,0.17983230533065347,8.326672684688674e-17,True,8.252999999999973
B1,24,seed43,8,OPTIMAL,447.9349765967564,447.9349765967564,0.0,0.1786353756972715,0.17863537569727153,2.7755575615628914e-17,True,7.939999999999995
B1,25,seed43,9,OPTIMAL,448.24760011410257,448.24760011410257,0.0,0.1785389203925819,0.17853892039258196,5.551115123125783e-17,True,8.033999999999988
B1,26,seed43,10,OPTIMAL,448.6937270185009,448.6937270185009,0.0,0.1770125942932474,0.17701259429324742,2.7755575615628914e-17,True,8.03499999999999
B1,27,seed43,11,OPTIMAL,449.2476001141023,449.2476001141023,0.0,0.176811587805854,0.176811587805854,0.0,True,7.890999999999997
B1,28,seed43,12,OPTIMAL,451.6051142380329,451.6051142380329,0.0,0.1760417945530227,0.17604179455302274,2.7755575615628914e-17,True,7.321999999999987
B1,29,seed43,13,OPTIMAL,457.263901370698,457.263901370698,0.0,0.1756872637582665,0.17568726375826652,2.7755575615628914e-17,True,8.09199999999997
B1,30,seed43,14,OPTIMAL,457.8096680508502,457.8096680508502,0.0,0.1682453963728939,0.16824539637289398,8.326672684688674e-17,True,8.583999999999977
B1,31,seed43,15,OPTIMAL,461.13987986295103,461.13987986295103,0.0,0.167261545367826,0.16726154536782603,2.7755575615628914e-17,True,8.647999999999982
B1,32,seed42,23,OPTIMAL,462.5668151816717,462.5668151816717,0.0,0.166196214672857,0.16619621467285703,2.7755575615628914e-17,True,8.646999999999984
B1,33,seed43,16,OPTIMAL,468.2476001141024,468.2476001141024,0.0,0.1426389278527557,0.14263892785275575,5.551115123125783e-17,True,8.832999999999974
