route,global_solution_id,source_run,source_solution_id,month,monthly_peak_grid_kw,demand_charge_usd_kw_month,monthly_demand_charge_usd
H2,57,cold_start_20260830_174912,33,10,446.8096680508497,30.0,13404.290041525492
H2,57,cold_start_20260830_174912,33,11,451.5668151816717,30.0,13547.004455450151
H2,57,cold_start_20260830_174912,33,12,457.2476001141024,30.0,13717.428003423072
H2,58,cold_start_20260830_174912,34,1,448.263901370698,30.0,13447.917041120942
H2,58,cold_start_20260830_174912,34,2,448.8096680508502,30.0,13464.290041525506
H2,58,cold_start_20260830_174912,34,3,448.8096680508497,30.0,13464.290041525492
H2,58,cold_start_20260830_174912,34,4,442.7906082262488,30.0,13283.718246787465
H2,58,cold_start_20260830_174912,34,5,437.1860672430611,30.0,13115.582017291832
H2,58,cold_start_20260830_174912,34,6,424.7595185917926,30.0,12742.785557753778
H2,58,cold_start_20260830_174912,34,7,417.06332944790665,30.0,12511.8998834372
H2,58,cold_start_20260830_174912,34,8,439.33878670654207,30.0,13180.163601196262
H2,58,cold_start_20260830_174912,34,9,435.37507206716356,30.0,13061.252162014907
H2,58,cold_start_20260830_174912,34,10,448.8096680508497,30.0,13464.290041525492
H2,58,cold_start_20260830_174912,34,11,453.5668151816717,30.0,13607.004455450151
H2,58,cold_start_20260830_174912,34,12,459.2476001141024,30.0,13777.428003423072
H2,59,cold_start_20260830_174912,35,1,453.263901370698,30.0,13597.917041120942
H2,59,cold_start_20260830_174912,35,2,453.8096680508502,30.0,13614.290041525506
H2,59,cold_start_20260830_174912,35,3,451.62397937473816,30.0,13548.719381242145
H2,59,cold_start_20260830_174912,35,4,449.91392501406654,30.0,13497.417750421995
H2,59,cold_start_20260830_174912,35,5,437.1860672430611,30.0,13115.582017291832
H2,59,cold_start_20260830_174912,35,6,429.7595185917926,30.0,12892.785557753778
H2,59,cold_start_20260830_174912,35,7,417.81163839254106,30.0,12534.349151776232
H2,59,cold_start_20260830_174912,35,8,439.33878670654207,30.0,13180.163601196262
H2,59,cold_start_20260830_174912,35,9,440.85962851010737,30.0,13225.78885530322
H2,59,cold_start_20260830_174912,35,10,453.8096680508497,30.0,13614.290041525492
H2,59,cold_start_20260830_174912,35,11,458.5668151816717,30.0,13757.004455450151
H2,59,cold_start_20260830_174912,35,12,464.2476001141024,30.0,13927.428003423072
H2,60,cold_start_20260830_174912,36,1,457.263901370698,30.0,13717.917041120942
H2,60,cold_start_20260830_174912,36,2,457.3329221610511,30.0,13719.987664831533
H2,60,cold_start_20260830_174912,36,3,451.62397937473816,30.0,13548.719381242145
H2,60,cold_start_20260830_174912,36,4,447.91392501406654,30.0,13437.417750421995
H2,60,cold_start_20260830_174912,36,5,435.1860672430611,30.0,13055.582017291832
H2,60,cold_start_20260830_174912,36,6,431.7595185917926,30.0,12952.785557753778
H2,60,cold_start_20260830_174912,36,7,419.0696699255027,30.0,12572.090097765082
H2,60,cold_start_20260830_174912,36,8,437.33878670654207,30.0,13120.163601196262
H2,60,cold_start_20260830_174912,36,9,441.2596285101074,30.0,13237.788855303223
H2,60,cold_start_20260830_174912,36,10,457.3329221610511,30.0,13719.987664831533
H2,60,cold_start_20260830_174912,36,11,461.13987986295103,30.0,13834.196395888532
H2,60,cold_start_20260830_174912,36,12,466.2476001141024,30.0,13987.428003423072
B1,0,seed42,0,1,410.44464937562145,30.0,12313.339481268644
B1,0,seed42,0,2,410.44464937562134,30.0,12313.33948126864
B1,0,seed42,0,3,410.4446493756214,30.0,12313.339481268642
B1,0,seed42,0,4,410.4523135750388,30.0,12313.569407251163
B1,0,seed42,0,5,410.4523135750388,30.0,12313.569407251163
B1,0,seed42,0,6,410.4523135750387,30.0,12313.569407251161
B1,0,seed42,0,7,410.4523135750388,30.0,12313.569407251163
B1,0,seed42,0,8,410.4523135750387,30.0,12313.569407251161
